"geneid","cid","aid","sid","activity","acname","acvalue"
4321,44580458,722642,103627400,"Active","INH",4.4E-05
4321,25122901,638695,136931116,"Active","IC50",0.0001
4321,25122902,638695,136924606,"Active","IC50",0.0001
4321,44580458,349385,103627400,"Active","Ki",0.00019
4321,11292680,440420,103443705,"Active","IC50",0.0002
4321,44247751,440420,103696861,"Active","IC50",0.0002
4321,57390510,638695,136921311,"Active","IC50",0.0002
4321,57392283,638695,136924607,"Active","IC50",0.0002
4321,9866250,109242,103338283,"Active","IC50",0.00024
4321,44580458,722641,103627400,"Active","Ki",0.00024
4321,44580458,722650,103627400,"Active","Ki",0.00026
4321,70698422,722650,164128292,"Active","Ki",0.00028
4321,25122164,638695,136931119,"Active","IC50",0.0003
4321,69921899,1257883,318434315,"Active","Ki",0.0003
4321,24795059,427755,103682710,"Active","IC50",0.0004
4321,25117549,638695,136921310,"Active","IC50",0.0004
4321,57399258,638695,136937661,"Active","IC50",0.0004
4321,132519,1077364,103185416,"Active","Ki",0.00052
4321,4218,1077364,103339213,"Active","Ki",0.00061
4321,57397577,638695,136934558,"Active","IC50",0.0007
4321,44247751,440432,103696861,"Active","IC50",0.00085
4321,44247751,440431,103696861,"Active","IC50",0.00089
4321,25263240,418149,103612075,"Active","IC50",0.0009
4321,71720757,731523,164149510,"Active","IC50",0.00093
4321,9982414,240999,103450562,"Active","IC50",0.00095
4321,132519,408845,103185416,"Active","IC50",0.001
4321,56835063,638695,136944116,"Active","IC50",0.001
4321,57390511,638695,136921312,"Active","IC50",0.001
4321,73353429,748347,174511663,"Active","Ki",0.001
4321,76314808,1077366,194147602,"Active","Ki",0.001
4321,50991139,1257883,318434283,"Active","Ki",0.00105
4321,25067178,418149,103612076,"Active","IC50",0.0011
4321,57390512,638695,136921313,"Active","IC50",0.0012
4321,44224245,427755,103688047,"Active","IC50",0.0014
4321,57390513,638695,136921314,"Active","IC50",0.0016
4321,44315244,310912,103276954,"Active","IC50",0.001698
4321,44315244,109241,103276954,"Active","IC50",0.0017
4321,25064052,427755,103682709,"Active","IC50",0.0018
4321,136054520,1328782,374353478,"Active","IC50",0.0018
